game_norm,genero,PremiosTotalesUSD,JugadoresTotales,TorneosTotales
teeworlds,Multiplayer Online Battle Arena,0.0,0,0
tekken 4,Fighting Game,12500.0,4,4
tekken 5,Fighting Game,10250.0,10,9
tekken 5: dark resurrection,Fighting Game,12180.0,18,5
tekken 6,Fighting Game,122743.68,64,30
tekken 7,Fighting Game,3911820.6,634,426
tekken 8,Fighting Game,1506651.86,208,40
tekken tag tournament,Fighting Game,0.0,7,4
tekken tag tournament 2,Fighting Game,118501.3,151,140
temtem,Strategy,60500.0,35,9
teppen,Strategy,626226.6,53,24
tetr.io,Puzzle Game,18698.3,39,18
tetris,Puzzle Game,308794.74,180,122
tetris effect: connected,Puzzle Game,11529.88,35,11
tetris ultimate,Puzzle Game,221.0,3,1
the binding of isaac,Strategy,15000.0,16,1
the division 2,Third-Person Shooter,27250.0,40,2
the elder scrolls: legends,Collectible Card Game,5000.0,3,1
the finals,First-Person Shooter,0.0,0,0
the last blade 2,Fighting Game,60.0,4,2
the unspoken,Fighting Game,38824.08,7,4
them's fightin' herds,Fighting Game,7218.19,30,30
tibia,Role-Playing Game,952.94,1,1
toribash,Fighting Game,100.0,3,1
total annihilation,Strategy,15000.0,2,1
tough love arena,Fighting Game,100.0,3,1
touhou hisoutensoku ~ choudokyuu ginyoru no nazo o oe,Fighting Game,4501.52,18,6
tower tag,First-Person Shooter,5170.41,25,5
towerfall: ascension,Fighting Game,0.0,0,0
trackmania (2020),Racing,870387.31,830,796
trackmania 2: canyon,Racing,24093.35,26,39
trackmania 2: stadium,Racing,200563.87,345,286
trackmania 2: valley,Racing,779.34,6,2
trackmania nations,Racing,112883.55,43,18
trackmania nations forever,Racing,197927.78,143,86
trackmania turbo,Racing,679.41,6,2
trackmania united,Racing,1027.5,3,1
trackmania united forever,Racing,4603.55,25,2
trials fusion,Racing,0.0,0,0
turbo racing league,Racing,,16,9
twinkle star sprites,Puzzle Game,150.0,4,2
ultimate marvel vs. capcom 3,Fighting Game,186685.27,223,198
ultimate mortal kombat 3,Fighting Game,150.0,6,2
ultra fight da! kyanta 2,Fighting Game,320.0,3,1
ultra street fighter iv,Fighting Game,818394.62,242,233
umineko: golden fantasia,Fighting Game,190.0,9,3
uncharted 4: a thief's end,First-Person Shooter,46235.07,5,1
under night in-birth exe: late,Fighting Game,6025.76,52,23
under night in-birth exe: late[cl-r],Fighting Game,10362.01,40,10
under night in-birth exe: late[st],Fighting Game,54583.33,109,40
under night in-birth ii [sys:celes],Fighting Game,76510.86,66,15
uno,Strategy,30000.0,28,3
unreal tournament,First-Person Shooter,89000.0,14,5
unreal tournament (2016),First-Person Shooter,5084.97,82,8
unreal tournament 2003,First-Person Shooter,147473.91,33,14
unreal tournament 2004,First-Person Shooter,152421.78,54,14
unreal tournament 3,First-Person Shooter,104977.82,7,4
vail vr,First-Person Shooter,36000.0,30,2
vainglory,Multiplayer Online Battle Arena,937421.19,262,36
valorant,First-Person Shooter,32018215.37,7465,1316
vampire savior,Fighting Game,19072.38,44,25
virtua fighter 4: evolution,Fighting Game,0.0,6,3
virtua fighter 5,Fighting Game,39830.0,14,7
virtua fighter 5 final showdown,Fighting Game,573.77,28,6
virtua fighter 5: ultimate showdown,Fighting Game,17070.0,22,4
void racer,Racing,460.0,4,1
walkabout mini golf,Sports,2000.0,7,2
warcraft iii,Strategy,6307153.73,768,1550
warcraft iii: reforged,Strategy,2139958.1,197,588
warface,First-Person Shooter,109555.0,32,2
"warhammer 40,000: dawn of war",Strategy,79816.5,7,3
"warhammer 40,000: dawn of war ii",Strategy,0.0,0,0
warparty,Strategy,1175.0,6,2
warsow,First-Person Shooter,183.0,2,1
windjammers,Strategy,5651.47,36,16
windjammers 2,Fighting Game,1056.07,3,56
wise star 2,Puzzle Game,12000.0,3,1
wolfenstein: enemy territory,First-Person Shooter,140963.24,152,18
world in conflict,Strategy,293338.23,38,11
world of tanks,Strategy,6205809.8,922,94
world of tanks blitz,Strategy,63330.0,14,6
world of warcraft,Role-Playing Game,9150537.61,503,225
wrc 10 fia world rally championship,Racing,25250.0,1,1
wwe 2k20,Fighting Game,50000.0,20,2
xonotic,First-Person Shooter,14935.01,96,44
yu-gi-oh! duel links,Collectible Card Game,48746.72,328,219
zerospace,Strategy,20000.0,11,2
zombieland vr: headshot fever,First-Person Shooter,10000.0,4,1
zula,First-Person Shooter,162500.0,38,3
zwift,Sports,65370.76,10,7
